year,quarter,DCKB Datacenter ID,Company,DCKB Datacenter Name,Facility Owner,Data Center Tenancy,Datacenter Operational Status,Year Built,Datacenter Type,Street Address,Country,City,Zip Code,Latitude,Longitude, Total Operational Space , Total Operational Space Utilized ,Total UPS Power (kW) ,Total UPS Power Utilized (kW),Total Utility Power (kW) ,PUE,Total Racks 
2019,4,51,Rackspace,LON1,CenturyLink,Multi,Operational,,Retail,260-266 Goswell Rd.,United Kingdom,London,EC1V 7EB,51.5287004,-0.1010349,4200,3024,252,181,454,1.8,117
2020,4,51,Rackspace,LON1,Lumen,Multi,Operational,,Retail,260-266 Goswell Rd.,United Kingdom,London,EC1V 7EB,51.5287004,-0.1010349,4200,3024,252,181,454,1.8,117
2018,4,52,Rackspace,LON2,Digital Realty,Multi,Operational,2003,Retail,Unit 21 Goldsworth Park Trading Estate,United Kingdom,Woking,GU21 3BA,51.3234975,-0.587003,2000,1200,300,180,540,1.8,56
2019,4,52,Rackspace,LON2,Digital Realty,Multi,Operational,2003,Retail,Unit 21 Goldsworth Park Trading Estate,United Kingdom,Woking,GU21 3BA,51.3234975,-0.587003,2000,1200,300,180,540,1.8,56
2020,4,52,Rackspace,LON2,Digital Realty,Multi,Operational,2003,Retail,Unit 21 Goldsworth Park Trading Estate,United Kingdom,Woking,GU21 3BA,51.3234975,-0.587003,2000,1200,300,180,540,1.8,56
2018,4,53,Rackspace,LON3,Global Switch,Multi,Operational,,Retail,240 East India Dock Road,United Kingdom,London,E14 9YY,51.5111482,-0.0060816,3200,2720,171,145,308,1.8,89
2019,4,53,Rackspace,LON3,Global Switch,Multi,Operational,,Retail,240 East India Dock Road,United Kingdom,London,E14 9YY,51.5111482,-0.0060816,3200,2720,171,145,308,1.8,89
2020,4,53,Rackspace,London Three,Global Switch,Multi,Operational,,Retail,240 East India Dock Road,United Kingdom,London,E14 9YY,51.5111482,-0.0060816,3200,2720,171,145,308,1.8,89
2018,4,59,Aegis Data,Surrey Data Park,Aegis Data,Multi,Not Operational,,Retail,"Catteshall Lane, Surrey Data Park",United Kingdom,Godalming,GU7 1LB,51.186271,-0.6017284, -   , -   , -   , -   ,,1.1, -   
2019,4,59,Aegis Data,Surrey Data Park,Aegis Data,Multi,Not Operational,,Retail,"Catteshall Lane, Surrey Data Park",United Kingdom,Godalming,GU7 1LB,51.186271,-0.6017284, -   , -   , -   , -   ,,1.1, -   
2020,4,59,Aegis Data,Surrey Data Park,Aegis Data,Multi,Not Operational,,Retail,"Catteshall Lane, Surrey Data Park",United Kingdom,Godalming,GU7 1LB,51.186271,-0.6017284, -   , -   , -   , -   ,,1.1, -   
2018,4,109,Ark Data Centres,A101,Ark Data Centres,Multi,Operational,2013,Wholesale,"Cody Park, Old Ively Road",United Kingdom,Farnborough,GU14 0LH,51.279501,-0.792355,34875,34875,4560,4560,5472,1.2,1090
2019,4,109,Ark Data Centres,A101,Ark Data Centres,Multi,Operational,2013,Wholesale,"Cody Park, Old Ively Road",United Kingdom,Farnborough,GU14 0LH,51.279501,-0.792355,34875,34875,4560,4560,5472,1.2,1090
2020,4,109,Ark Data Centres,A101,Ark Data Centres,Multi,Operational,2013,Wholesale,"Cody Park, Old Ively Road",United Kingdom,Farnborough,GU14 0LH,51.279501,-0.792355,34875,34875,4560,4560,5472,1.2,1090
2018,4,110,Ark Data Centres,A9,Ark Data Centres,Multi,Operational,2011,Wholesale,"Cody Park, Old Ively Road",United Kingdom,Farnborough,GU14 0LX,51.279501,-0.792355,6652,5987,800,720,1120,1.4,202
2019,4,110,Ark Data Centres,A9,Ark Data Centres,Multi,Operational,2011,Wholesale,"Cody Park, Old Ively Road",United Kingdom,Farnborough,GU14 0LX,51.279501,-0.792355,6652,5987,800,720,1120,1.4,202
2020,4,110,Ark Data Centres,A9,Ark Data Centres,Multi,Operational,2011,Wholesale,"Cody Park, Old Ively Road",United Kingdom,Farnborough,GU14 0LX,51.279501,-0.792355,6652,6652,800,800,1120,1.4,202
2018,4,132,AT&T,LHR1,Digital Realty,Multi,Operational,2009,Retail,227 Marsh Wall,United Kingdom,London,E14 9SD,51.499732,-0.010743,3397,2718,554,443,997,1.8,94
2019,4,132,Evoque,LHR1,Digital Realty,Multi,Operational,2009,Retail,227 Marsh Wall,United Kingdom,London,E14 9SD,51.499732,-0.010743,3397,2718,554,443,997,1.8,94
2020,4,132,Evoque,LHR1,Digital Realty,Multi,Operational,2009,Retail,227 Marsh Wall,United Kingdom,London,E14 9SD,51.499732,-0.010743,3397,2718,554,443,997,1.8,94
2018,4,194,Six Degrees,City of London,CenturyLink,Multi,Operational,,Retail,260-266 Goswell Rd.,United Kingdom,London,EC1V 7EB,51.5287004,-0.1010349,10000,5000,600,300,1140,1.9,278
2019,4,194,Six Degrees,City of London,CenturyLink,Multi,Operational,,Retail,260-266 Goswell Rd.,United Kingdom,London,EC1V 7EB,51.5287004,-0.1010349,10000,5000,600,300,1140,1.9,278
2020,4,194,Six Degrees,City of London,Lumen,Multi,Operational,,Retail,260-266 Goswell Rd.,United Kingdom,London,EC1V 7EB,51.5287004,-0.1010349,10000,5000,600,300,1140,1.9,278
2018,4,195,Six Degrees,Docklands London,Global Switch,Multi,Operational,,Retail,240 East India Dock Road,United Kingdom,London,E14 9YY,51.5111482,-0.0060816,11000,5500,587,294,1115,1.9,306
2019,4,195,Six Degrees,Docklands London,Global Switch,Multi,Operational,,Retail,240 East India Dock Road,United Kingdom,London,E14 9YY,51.5111482,-0.0060816,11000,5500,587,294,1115,1.9,306
2020,4,195,Six Degrees,Docklands London,Global Switch,Multi,Operational,,Retail,240 East India Dock Road,United Kingdom,London,E14 9YY,51.5111482,-0.0060816,11000,5500,587,294,1115,1.9,306
2018,4,197,Six Degrees,South East London,Six Degrees,Multi,Operational,2008,Retail,Anchor and Hope Lane,United Kingdom,London,SE7 7SQ,51.4245748,-0.1970336,15069,8288,1941,1068,3688,1.9,419
